id,grade,gender,region,school,CharacterSize
5a39ce6d1161dd1fa3d3bf00,G4,girl,central urban,S1,2871.126569
5a39d2e11161dd1fa3d58c50,G5,boy,central urban,S1,2248.207307
5a39d2ed1161dd1fa3d58ff7,G5,boy,central urban,S1,2571.693975
5a39c4bc1161dd1fa3d196a7,G4,boy,central urban,S1,2496.669131
5a39d1c41161dd1fa3d536f2,G5,boy,central urban,S1,3221.447601
5a39c3bf1161dd1fa3d12a11,G6,boy,central urban,S1,2394.607095
5a39c4051161dd1fa3d156be,G4,girl,central urban,S1,2031.56767
5a39c4d91161dd1fa3d1a238,G6,girl,central urban,S1,1985.656797
5a39cf821161dd1fa3d45b08,G5,boy,central urban,S1,2698.617886
5a39c8251161dd1fa3d272f7,G6,boy,central urban,S1,2671.261827
5a39cf8b1161dd1fa3d46328,G4,girl,central urban,S1,2950.291029
5a39d1da1161dd1fa3d541aa,G5,boy,central urban,S1,2223.339771
5a39cf8c1161dd1fa3d463ea,G5,boy,central urban,S1,3129.710678
5a39cf7c1161dd1fa3d4575b,G4,girl,central urban,S1,2696.962017
5a39cf581161dd1fa3d442d2,G5,girl,central urban,S1,3171.067779
5a39d1ab1161dd1fa3d5314b,G5,boy,central urban,S1,3092.245396
5a39c43a1161dd1fa3d16680,G4,boy,central urban,S1,2763.118926
5a39c32c1161dd1fa3d0c7b5,G6,boy,central urban,S1,2896.518329
5a39cf6b1161dd1fa3d4501c,G5,girl,central urban,S1,2923.015194
5a39c4cd1161dd1fa3d19d7a,G4,boy,central urban,S1,2570.100072
5a39cf2f1161dd1fa3d425a5,G4,boy,central urban,S1,2810.485715
5a39c3c91161dd1fa3d13609,G4,girl,central urban,S1,2718.169713
5a39c52b1161dd1fa3d1bcbf,G4,girl,central urban,S1,2468.165969
5a39cf851161dd1fa3d45e84,G4,boy,central urban,S1,2811.684768
5a39d3511161dd1fa3d5afda,G5,girl,central urban,S1,3298.68032
5a39c4591161dd1fa3d1739d,G4,girl,central urban,S1,2879.465648
5a39cfc21161dd1fa3d4910c,G4,boy,central urban,S1,2804.331288
5a39c5d21161dd1fa3d1ffdf,G4,boy,central urban,S1,2939.621522
5a39c32a1161dd1fa3d0c6dd,G6,boy,central urban,S1,2935.133976
5a39cf941161dd1fa3d46e17,G5,boy,central urban,S1,3027.819785
5a39d2591161dd1fa3d5700f,G5,girl,central urban,S1,2952.688984
5a39c4581161dd1fa3d1707e,G4,boy,central urban,S1,2719.526777
5a39cfb11161dd1fa3d4893b,G5,boy,central urban,S1,3060.853932
5a37475f1161dd1373c3c554,G3,boy,central urban,S1,2159.083833
5a39d0a51161dd1fa3d4df38,G5,boy,central urban,S1,2988.430882
5a39cf6f1161dd1fa3d45125,G5,boy,central urban,S1,3135.541693
5a39c57b1161dd1fa3d1decd,G6,boy,central urban,S1,2999.438345
5a39cf2a1161dd1fa3d41e63,G5,boy,central urban,S1,3342.664573
5a39ce721161dd1fa3d3c311,G4,boy,central urban,S1,3017.881905
5a39c64c1161dd1fa3d21911,G6,boy,central urban,S1,2178.950858
5a39cf161161dd1fa3d4129c,G5,boy,central urban,S1,2950.390333
5a39d0151161dd1fa3d4b328,G5,girl,central urban,S1,3111.661479
5a37494e1161dd1373c45b24,G3,boy,central urban,S1,1210.05027
