date,q1a,q1b,q1c,q1d,q1e,state,corp,tax,private,fees,location,mission,image,benefits,q5,precorre,int,mag,newsp,radio,signs,tv,word,accuracy,influenc,reliable,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,q8i,q8j,elig,ncyes,pdyes,cpconyes,cpdebyes,econom,educ,environ,fpolicy,healthc,iraq,jobs,ssmar,otheriss,issue,changey,issueyes,respyes,rightsy,partyyes,opinyes,cfp,cpm,conpm,dfl,gpm,ipm,lpm,libertpm,nup,pm,rpm,reppm,noaffil,party,female,yrsinmn,age,current,alumn,uempl,famstu,famempl,bus,none,role,intern,under,grad,nondeg,stustat,a,b,c,d,e,f,g,h,i,j,quiz,stadiumsupport
10/23/2004,0,0,0,0,0,4,4,4,4,4,2,1,1,1,3,0,0,0,0,0,0,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1, ,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,30,0,1,0,0,0,0,0,2, , , , , ,1,0,1,1,0,0,1,1,1,1,7,0
10/23/2004,1,1,1,0,0,4,4,2,4,3,1,3,4,4,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,24,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0,1,0,1,5,3
10/23/2004,1,1,1,1,1,3,2,3,4,2,1,3,4,4,1,0,1,0,0,0,0,0,0,2,2,2,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,24,24,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,7,5
10/23/2004,1,0,0,0,0,3,3,1,4,3,1,1,3,3,1,0,0,0,0,1,0,0,0,2,4,2,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,33,33,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,5,1
10/23/2004,1,0,1,0,0,3,3,1,3,1,1,3,3,3,2,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,22,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,1,1,0,0,1,0,5,2
10/23/2004,0,0,0,1,0,1,1,1,3,1,1,1,2,3,1,0,1,0,0,0,0,0,0,2,3,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,9,1,1,1,1, ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,22,22,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,1,1,0,0,1,1,1,7,1
10/23/2004,0,0,0,1,0,3,2,1,4,1,1,2,3,4,1,0,0,0,1,0,0,0,0,2,3,3,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,26,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,0,1,0,0,1,1,1,7,1
10/23/2004,1,0,0,1,0,3,2,1,4,1,1,2,4,3,1,0,0,0,1,0,0,0,0,2,3,3,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,26,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,0,1,1,0,1,1,1,8,2
10/23/2004,0,0,0,1,1,1,2,1,4,1,1,1,3,2,1,0,1,0,0,0,0,0,0,3,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,24,28,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,1,1,1,1,6,2
10/23/2004,1,1,1,1,1,3,3,4,4,2,1,2,3,4,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,28,28,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,1,0,0,1,1,1,6,5
